,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster
141,General Physics I,ku002,158245,0.0,0,0,0,0.0,0
142,General Physics I,ku002,151265,0.0,0,0,0,0.0,0
143,General Physics I,ku002,79238,0.0,0,0,0,0.0,0
144,General Physics I,ku002,17530,0.0,0,0,0,0.0,0
145,General Physics I,ku002,158925,0.0,0,0,0,0.0,0
146,General Physics I,ku002,99703,0.0,0,0,0,0.0,0
147,General Physics I,ku002,159202,0.0,0,0,0,0.0,0
148,General Physics I,ku002,159453,0.0,0,0,0,0.0,0
149,General Physics I,ku002,159841,0.0,0,0,0,0.0,0
150,General Physics I,ku002,122470,0.0,0,0,0,0.0,0
151,General Physics I,ku002,137721,0.0,0,0,0,0.0,0
152,General Physics I,ku002,151090,0.0,0,0,0,0.0,0
153,General Physics I,ku002,160105,0.0,0,0,0,0.0,0
154,General Physics I,ku002,160122,0.0,0,0,0,0.0,0
155,General Physics I,ku002,160173,0.0,0,0,0,0.0,0
156,General Physics I,ku002,160189,0.0,0,0,0,0.0,0
157,General Physics I,ku002,160265,0.0,0,0,0,0.0,0
158,General Physics I,ku002,160303,0.0,0,0,0,0.0,0
159,General Physics I,ku002,97856,0.0,0,0,0,0.0,0
160,General Physics I,ku002,160813,0.0,0,0,0,0.0,0
161,General Physics I,ku002,161266,0.52,1,1,1,0.53,2
162,General Physics I,ku002,161260,0.52,1,1,1,0.53,2
163,General Physics I,ku002,161455,0.98,1,1,1,1.0,1
164,General Physics I,ku002,161498,0.0,0,0,0,0.0,0
165,General Physics I,ku002,5737,0.0,0,0,0,0.0,0
166,General Physics I,ku002,87298,0.0,0,0,0,0.0,0
167,General Physics I,ku002,161899,0.0,0,0,0,0.0,0
168,General Physics I,ku002,161911,0.62,1,1,1,0.47,2
169,General Physics I,ku002,161912,0.0,0,0,0,0.0,0
170,General Physics I,ku002,161726,0.0,0,0,0,0.0,0
171,General Physics I,ku002,161294,0.52,1,1,1,0.53,2
172,General Physics I,ku002,162277,0.0,0,0,0,0.0,0
173,General Physics I,ku002,162284,0.1,0,0,0,0.2,0
174,General Physics I,ku002,162286,0.37,0,0,0,0.53,2
175,General Physics I,ku002,162287,0.17,0,0,0,0.27,2
176,General Physics I,ku002,162293,0.0,0,0,0,0.0,0
177,General Physics I,ku002,161876,0.14,0,0,0,0.27,2
178,General Physics I,ku002,162295,0.21,0,0,0,0.33,2
179,General Physics I,ku002,162304,0.0,0,0,0,0.0,0
180,General Physics I,ku002,162320,0.0,0,0,0,0.0,0
181,General Physics I,ku002,162310,0.0,0,0,0,0.0,0
182,General Physics I,ku002,162316,0.14,0,0,0,0.27,2
183,General Physics I,ku002,162323,0.12,0,0,0,0.27,2
184,General Physics I,ku002,162302,0.0,0,0,0,0.0,0
