,Unnamed: 0,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster,c_length,Evaluate,Learner Type
2282,2282,Infomation Litercy,nrru001,136612,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2283,2283,Infomation Litercy,nrru001,7947,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2284,2284,Infomation Litercy,nrru001,88812,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2285,2285,Infomation Litercy,nrru001,137721,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2286,2286,Infomation Litercy,nrru001,6639,0.97,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2287,2287,Infomation Litercy,nrru001,51593,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2288,2288,Infomation Litercy,nrru001,65777,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2289,2289,Infomation Litercy,nrru001,87475,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2290,2290,Infomation Litercy,nrru001,138595,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2291,2291,Infomation Litercy,nrru001,137994,1.0,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2292,2292,Infomation Litercy,nrru001,139548,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2293,2293,Infomation Litercy,nrru001,124291,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2294,2294,Infomation Litercy,nrru001,137870,0.93,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2295,2295,Infomation Litercy,nrru001,15079,0.14,0,0,0,0.41,2,Middle,0: Not Pass,2: Targeting
2296,2296,Infomation Litercy,nrru001,384,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2297,2297,Infomation Litercy,nrru001,139990,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2298,2298,Infomation Litercy,nrru001,140136,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2299,2299,Infomation Litercy,nrru001,92635,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2300,2300,Infomation Litercy,nrru001,140517,0.87,1,1,1,0.94,1,Middle,1: Pass,1: Comprehensive
2301,2301,Infomation Litercy,nrru001,140577,0.06,0,0,0,0.24,0,Middle,0: Not Pass,0: Sampling
2302,2302,Infomation Litercy,nrru001,140544,0.08,0,0,0,0.29,2,Middle,0: Not Pass,2: Targeting
2303,2303,Infomation Litercy,nrru001,140529,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2304,2304,Infomation Litercy,nrru001,140761,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2305,2305,Infomation Litercy,nrru001,102478,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2306,2306,Infomation Litercy,nrru001,45233,0.96,1,1,1,0.94,1,Middle,1: Pass,1: Comprehensive
2307,2307,Infomation Litercy,nrru001,3899,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2308,2308,Infomation Litercy,nrru001,127003,0.92,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2309,2309,Infomation Litercy,nrru001,142305,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2310,2310,Infomation Litercy,nrru001,142567,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2311,2311,Infomation Litercy,nrru001,143449,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2312,2312,Infomation Litercy,nrru001,130,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2313,2313,Infomation Litercy,nrru001,20446,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2314,2314,Infomation Litercy,nrru001,143695,0.88,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2315,2315,Infomation Litercy,nrru001,2435,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2316,2316,Infomation Litercy,nrru001,100981,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2317,2317,Infomation Litercy,nrru001,144502,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2318,2318,Infomation Litercy,nrru001,141655,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2319,2319,Infomation Litercy,nrru001,138228,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2320,2320,Infomation Litercy,nrru001,146152,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2321,2321,Infomation Litercy,nrru001,146722,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2322,2322,Infomation Litercy,nrru001,147238,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2323,2323,Infomation Litercy,nrru001,147741,0.08,0,0,0,0.29,2,Middle,0: Not Pass,2: Targeting
2324,2324,Infomation Litercy,nrru001,147751,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2325,2325,Infomation Litercy,nrru001,147753,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2326,2326,Infomation Litercy,nrru001,147738,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2327,2327,Infomation Litercy,nrru001,147747,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2328,2328,Infomation Litercy,nrru001,147772,0.04,0,0,0,0.18,0,Middle,0: Not Pass,0: Sampling
2329,2329,Infomation Litercy,nrru001,147750,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2330,2330,Infomation Litercy,nrru001,147733,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2331,2331,Infomation Litercy,nrru001,147784,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2332,2332,Infomation Litercy,nrru001,147765,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2333,2333,Infomation Litercy,nrru001,147735,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2334,2334,Infomation Litercy,nrru001,147789,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2335,2335,Infomation Litercy,nrru001,147763,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2336,2336,Infomation Litercy,nrru001,147768,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2337,2337,Infomation Litercy,nrru001,147756,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2338,2338,Infomation Litercy,nrru001,147759,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2339,2339,Infomation Litercy,nrru001,147760,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2340,2340,Infomation Litercy,nrru001,147793,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2341,2341,Infomation Litercy,nrru001,147769,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2342,2342,Infomation Litercy,nrru001,147781,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2343,2343,Infomation Litercy,nrru001,147799,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2344,2344,Infomation Litercy,nrru001,147778,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2345,2345,Infomation Litercy,nrru001,147796,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2346,2346,Infomation Litercy,nrru001,147775,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2347,2347,Infomation Litercy,nrru001,147766,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2348,2348,Infomation Litercy,nrru001,147790,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2349,2349,Infomation Litercy,nrru001,147802,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2350,2350,Infomation Litercy,nrru001,147805,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2351,2351,Infomation Litercy,nrru001,147822,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2352,2352,Infomation Litercy,nrru001,147787,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2353,2353,Infomation Litercy,nrru001,147825,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2354,2354,Infomation Litercy,nrru001,147820,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2355,2355,Infomation Litercy,nrru001,147757,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2356,2356,Infomation Litercy,nrru001,147786,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2357,2357,Infomation Litercy,nrru001,147843,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2358,2358,Infomation Litercy,nrru001,147840,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2359,2359,Infomation Litercy,nrru001,147844,0.01,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2360,2360,Infomation Litercy,nrru001,147850,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2361,2361,Infomation Litercy,nrru001,147858,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2362,2362,Infomation Litercy,nrru001,147853,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2363,2363,Infomation Litercy,nrru001,147870,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2364,2364,Infomation Litercy,nrru001,147886,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2365,2365,Infomation Litercy,nrru001,147874,0.56,0,0,0,0.18,2,Middle,0: Not Pass,2: Targeting
2366,2366,Infomation Litercy,nrru001,147885,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2367,2367,Infomation Litercy,nrru001,147880,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2368,2368,Infomation Litercy,nrru001,147912,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2369,2369,Infomation Litercy,nrru001,147904,0.04,0,0,0,0.18,0,Middle,0: Not Pass,0: Sampling
2370,2370,Infomation Litercy,nrru001,147867,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2371,2371,Infomation Litercy,nrru001,147882,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2372,2372,Infomation Litercy,nrru001,147877,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2373,2373,Infomation Litercy,nrru001,147894,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2374,2374,Infomation Litercy,nrru001,147859,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2375,2375,Infomation Litercy,nrru001,147907,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2376,2376,Infomation Litercy,nrru001,147925,0.05,0,0,0,0.24,0,Middle,0: Not Pass,0: Sampling
2377,2377,Infomation Litercy,nrru001,147922,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2378,2378,Infomation Litercy,nrru001,147915,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2379,2379,Infomation Litercy,nrru001,147828,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2380,2380,Infomation Litercy,nrru001,147942,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2381,2381,Infomation Litercy,nrru001,147897,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2382,2382,Infomation Litercy,nrru001,147865,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2383,2383,Infomation Litercy,nrru001,147918,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2384,2384,Infomation Litercy,nrru001,147936,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2385,2385,Infomation Litercy,nrru001,147889,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2386,2386,Infomation Litercy,nrru001,147921,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2387,2387,Infomation Litercy,nrru001,147856,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2388,2388,Infomation Litercy,nrru001,147930,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2389,2389,Infomation Litercy,nrru001,147906,0.06,0,0,0,0.24,0,Middle,0: Not Pass,0: Sampling
2390,2390,Infomation Litercy,nrru001,147927,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2391,2391,Infomation Litercy,nrru001,147933,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2392,2392,Infomation Litercy,nrru001,147961,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2393,2393,Infomation Litercy,nrru001,147831,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2394,2394,Infomation Litercy,nrru001,147871,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2395,2395,Infomation Litercy,nrru001,147900,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2396,2396,Infomation Litercy,nrru001,147949,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2397,2397,Infomation Litercy,nrru001,147847,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2398,2398,Infomation Litercy,nrru001,147958,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2399,2399,Infomation Litercy,nrru001,147981,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2400,2400,Infomation Litercy,nrru001,147934,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2401,2401,Infomation Litercy,nrru001,147945,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2402,2402,Infomation Litercy,nrru001,147975,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2403,2403,Infomation Litercy,nrru001,147952,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2404,2404,Infomation Litercy,nrru001,147978,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2405,2405,Infomation Litercy,nrru001,147939,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2406,2406,Infomation Litercy,nrru001,147967,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2407,2407,Infomation Litercy,nrru001,147988,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2408,2408,Infomation Litercy,nrru001,147955,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2409,2409,Infomation Litercy,nrru001,147993,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2410,2410,Infomation Litercy,nrru001,148021,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2411,2411,Infomation Litercy,nrru001,147985,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2412,2412,Infomation Litercy,nrru001,147991,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2413,2413,Infomation Litercy,nrru001,148009,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2414,2414,Infomation Litercy,nrru001,147969,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2415,2415,Infomation Litercy,nrru001,147963,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2416,2416,Infomation Litercy,nrru001,147970,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2417,2417,Infomation Litercy,nrru001,148041,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2418,2418,Infomation Litercy,nrru001,148029,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2419,2419,Infomation Litercy,nrru001,147903,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2420,2420,Infomation Litercy,nrru001,147973,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2421,2421,Infomation Litercy,nrru001,148006,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2422,2422,Infomation Litercy,nrru001,148008,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2423,2423,Infomation Litercy,nrru001,148048,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2424,2424,Infomation Litercy,nrru001,148014,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2425,2425,Infomation Litercy,nrru001,147972,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2426,2426,Infomation Litercy,nrru001,148038,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2427,2427,Infomation Litercy,nrru001,148015,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2428,2428,Infomation Litercy,nrru001,147807,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2429,2429,Infomation Litercy,nrru001,147964,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2430,2430,Infomation Litercy,nrru001,148033,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2431,2431,Infomation Litercy,nrru001,148032,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2432,2432,Infomation Litercy,nrru001,147916,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2433,2433,Infomation Litercy,nrru001,147954,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2434,2434,Infomation Litercy,nrru001,147891,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2435,2435,Infomation Litercy,nrru001,148012,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2436,2436,Infomation Litercy,nrru001,147996,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2437,2437,Infomation Litercy,nrru001,147946,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2438,2438,Infomation Litercy,nrru001,148035,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2439,2439,Infomation Litercy,nrru001,148044,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2440,2440,Infomation Litercy,nrru001,148042,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2441,2441,Infomation Litercy,nrru001,147817,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2442,2442,Infomation Litercy,nrru001,147982,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2443,2443,Infomation Litercy,nrru001,148000,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2444,2444,Infomation Litercy,nrru001,148026,0.03,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2445,2445,Infomation Litercy,nrru001,148071,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2446,2446,Infomation Litercy,nrru001,147994,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2447,2447,Infomation Litercy,nrru001,148065,0.02,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
